iter	Passed	Remaining
0	7	1181
1	10	797
2	74	3644
3	79	2906
4	111	3222
5	112	2700
6	161	3291
7	192	3417
8	193	3036
9	195	2730
10	196	2478
11	197	2268
12	198	2091
13	199	1937
14	15	513	4298
16	533	4170
17	564	4136
18	601	4146
19	620	4034
20	643	3950
21	870	5066
22	872	4815
23	1031	5414
24	1056	5283
25	1090	5199
26	1226	5586
27	1235	5381
28	1235	5156
29	1236	4946
30	1237	4751
31	1286	4745
32	1289	4571
33	1299	4433
34	1311	4310
35	1313	4158
36	1314	4014
37	1448	4268
38	1549	4409
39	1550	4263
40	1551	4125
41	1552	3993
42	1553	3866
43	1555	3746
44	1556	3631
45	1619	3662
46	1739	3811
47	1747	3714
48	1767	3643
49	1770	3540
50	1795	3484
51	1829	3447
52	2068	3786
53	2119	3768
54	2121	3663
55	2122	3562
56	2130	3476
57	2138	3391
58	2142	3303
59	2143	3215
60	2147	3132
61	2156	3060
62	2175	3004
63	2193	2947
64	2195	2870
65	2221	2827
66	2248	2785
67	2306	2781
68	2307	2709
69	2309	2639
70	2310	2570
71	2311	2504
72	2313	2439
73	2314	2376
74	2315	2315
75	2316	2255
76	2318	2197
77	2319	2140
78	2320	2085
79	2322	2032
80	2324	1979
81	2326	1929
82	2327	1878
83	2328	1829
84	2330	1781
85	2331	1734
86	2332	1689
87	2334	1644
88	2335	1600
89	2336	1557
90	2337	1515
91	2339	1474
92	2340	1434
93	2342	1395
94	2343	1356
95	2344	1318
96	2349	1283
97	2350	1247
98	2352	1211
99	2353	1176
100	2354	1142
101	2355	1108
102	2357	1075
103	2358	1043
104	2360	1011
105	2361	980
106	2362	949
107	2363	919
108	2365	889
109	2366	860
110	2367	831
111	2368	803
112	2369	776
113	2371	748
114	2372	722
115	2373	695
116	2374	669
117	2376	644
118	2377	619
119	2378	594
120	2379	570
121	2381	546
122	2382	522
123	2383	499
124	2385	477
125	2386	454
126	2387	432
127	2389	410
128	2390	389
129	2391	367
130	2392	347
131	2394	326
132	2395	306
133	2396	286
134	2398	266
135	2399	246
136	2400	227
137	2402	208
138	2403	190
139	2404	171
140	2405	153
141	2407	135
142	2408	117
143	2409	100
144	2410	83
145	2412	66
146	2413	49
147	2415	32
148	2416	16
149	2417	0
